Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Jordan Pickford,eng ENG,GK,30,38,38,3420,38.0,0,1,1,0,0,0,7,0
Vitaliy Mykolenko,ua UKR,DF,25,35,35,3082,34.2,1,2,3,1,0,0,4,0
Idrissa Gana Gueye,sn SEN,MF,34,37,35,3063,34.0,0,3,3,0,0,0,9,0
James Tarkowski,eng ENG,DF,31,33,33,2922,32.5,1,1,2,1,0,0,6,0
Abdoulaye Doucouré,ml MLI,MF,31,33,31,2564,28.5,3,2,5,3,0,0,5,1
Iliman Ndiaye,sn SEN,FW,24,33,29,2430,27.0,9,0,9,7,2,2,3,0
Jarrad Branthwaite,eng ENG,DF,22,30,28,2511,27.9,0,1,1,0,0,0,4,0
Jack Harrison,eng ENG,FW,27,34,24,2076,23.1,1,0,1,1,0,0,0,0
Ashley Young,eng ENG,DF,39,32,19,1875,20.8,1,3,4,1,0,0,7,1
Dominic Calvert-Lewin,eng ENG,FW,27,26,19,1609,17.9,3,1,4,3,0,0,2,0
James Garner,eng ENG,"MF,DF",23,21,17,1594,17.7,0,1,1,0,0,0,5,0
Jake O'Brien,ie IRL,DF,23,20,17,1571,17.5,2,0,2,2,0,0,5,0
Beto,gw GNB,FW,26,30,15,1534,17.0,8,0,8,8,0,0,2,0
Dwight McNeil,eng ENG,"MF,FW",24,21,15,1371,15.2,4,6,10,4,0,0,1,0
Jesper Lindstrøm,dk DEN,FW,24,25,15,1239,13.8,0,1,1,0,0,0,2,0
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Orel Mangala,be BEL,MF,26,19,14,1261,14.0,1,0,1,1,0,0,2,0
Michael Keane,eng ENG,DF,31,14,11,1049,11.7,3,0,3,3,0,0,5,0
Carlos Alcaraz,ar ARG,"FW,MF",21,15,7,764,8.5,2,3,5,2,0,0,4,0
Tim Iroegbunam,eng ENG,MF,21,18,5,574,6.4,0,1,1,0,0,0,4,0
Armando Broja,al ALB,FW,22,10,4,334,3.7,0,0,0,0,0,0,1,0
Nathan Patterson,sct SCO,DF,22,10,3,347,3.9,0,1,1,0,0,0,1,0
Séamus Coleman,ie IRL,DF,35,5,3,215,2.4,0,0,0,0,0,0,1,0
Roman Dixon,eng ENG,DF,19,1,1,90,1.0,0,0,0,0,0,0,0,0
Harrison Armstrong,eng ENG,MF,17,3,0,48,0.5,0,0,0,0,0,0,1,0
Youssef Chermiti,pt POR,"FW,MF",20,4,0,45,0.5,0,0,0,0,0,0,1,0
Mason Holgate,jm JAM,"FW,DF",27,1,0,6,0.1,0,0,0,0,0,0,0,0
Callum Bates,eng ENG,MF,18,0,0,,,,,,,,,,
Asmir Begović,ba BIH,GK,37,0,0,,,,,,,,,,
Coby Ebere,de GER,MF,18,0,0,,,,,,,,,,
Isaac Heath,eng ENG,MF,19,0,0,,,,,,,,,,
Neal Maupay,fr FRA,"FW,MF",27,0,0,,,,,,,,,,
Jenson Metcalfe,eng ENG,MF,19,0,0,,,,,,,,,,
Martin Sherif,nl NED,FW,18,0,0,,,,,,,,,,
João Virgínia,pt POR,GK,24,0,0,,,,,,,,,,
Reece Welch,eng ENG,DF,20,0,0,,,,,,,,,,
Squad Total,,,28.0,38,418,3420,38.0,39,27,66,37,2,2,82,2
Opponent Total,,,26.2,38,418,3420,38.0,44,35,79,44,0,2,46,2
